code,ident,latitude_deg,longitude_deg,time_zone
KOR,AYRO,-7.808333,146.55,UTC+10
MRH,AYRV,-8.466667,145.33333,UTC+10
SBE,AYSA,-6.1042883,142.27852281829365,UTC+10
SDI,AYSD,-5.55,146.5,UTC+10
NIS,AYSE,-2.66153755,151.99549443410396,UTC+10
SFU,AYSF,-9.666667,148.66667,UTC+10
SIL,AYSG,-8.333333,147.5,UTC+10
SBV,AYSH,-5.333333,155.01666,UTC+10
SIM,AYSJ,-5.2784418,144.54444343387604,UTC+10
SGK,AYSK,-5.083333,144.76666,UTC+10
SXH,AYSL,-9.96508625,151.16207079487572,UTC+10
SBC,AYSO,-5.3150755,141.75206670032964,UTC+10
SMH,AYSP,-6.083333,146.75,UTC+10
SPV,AYSQ,-3.816667,144.5,UTC+10
TDS,AYSS,-7.6194099,142.86649100752646,UTC+10
SKC,AYSU,-8.083333,141.8,UTC+10
SXW,AYSV,-5.971389,148.95305,UTC+10
SWG,AYSW,-6.1394439,147.27878072846525,UTC+10
MBV,AYSX,-6.3452645,147.5910079872877,UTC+10
TIZ,AYTA,-5.8446016,142.94694677779594,UTC+10
TBG,AYTB,-5.27968125,141.22708058939207,UTC+10
TFM,AYTE,-5.183333,141.63333,UTC+10
TDB,AYTF,-8.997222,148.43333,UTC+10
TGL,AYTG,-11.5,153.5,UTC+10
TFB,AYTH,-5.11707885,141.4191281251933,UTC+10
TPI,AYTI,-8.35645155,146.98946671156628,UTC+10
TAJ,AYTJ,-3.19791675,142.4310414987536,UTC+10
RAB,AYTK,-4.340607,152.3808504456366,UTC+10
TKW,AYTN,-5.24379985,142.1648387971141,UTC+10
KDQ,AYTO,-3.6006247,141.05177324474255,UTC+10
TEP,AYTP,-5.85,146.5,UTC+10
TBQ,AYTR,12.3,22.75,UTC+10
TSW,AYTS,-6.966667,146.03334,UTC+10
TRJ,AYTT,-5.61427505,141.04277651555867,UTC+10
TFI,AYTU,-9.0759928,149.31981992421777,UTC+10
TBE,AYTV,-4.2,143.51666,UTC+10
TWY,AYTW,-7.266667,146.06667,UTC+10
TEO,AYTY,-8.083333,146.06667,UTC+10
TKB,AYTZ,-7.68129255,146.5503408810951,UTC+10
UMC,AYUC,-7.021325,145.96630039886003,UTC+10
URU,AYUE,-9.5158838,148.56089981077918,UTC+10
UBI,AYUI,-6.7309104,155.6839500874595,UTC+10
AUV,AYUM,-5.7278249,148.4458293285261,UTC+10
GLP,AYUP,-5.283333,141.51666,UTC+10
UPR,AYUR,-8.533333,142.63333,UTC+10
KUX,AYUY,-5.3717997,141.62561895159217,UTC+10
UVO,AYUZ,-5.975,150.96666,UTC+10
TLW,AYVL,-5.366667,150.01666,UTC+10
TCJ,AYVM,-4.016667,143.13333,UTC+10
VAI,AYVN,-2.69197705,141.30212067449594,UTC+10
TON,AYVO,-6.35,155.59166,UTC+10
WUV,AYVW,-1.73585645,142.83592570294093,UTC+10
WAO,AYWB,-7.495086,144.8243,UTC+10
WTT,AYWC,-6.05,146.4,UTC+10
WBM,AYWD,-5.6354236,143.8922603983255,UTC+10
WAJ,AYWF,-7.8,143.26666,UTC+10
AGL,AYWG,-9.33738355,149.15610272068812,UTC+10
WNU,AYWH,-4.9,145.31667,UTC+10
WBC,AYWJ,-9.316667,150.35,UTC+10
WWK,AYWK,-3.5802372,143.66909229313853,UTC+10
WOA,AYWO,-6.79699265,145.89236349345992,UTC+10
WKN,AYWQ,-5.86042745,155.22238548987872,UTC+10
WSU,AYWS,-5.95,147.23334,UTC+10
WTP,AYWT,-8.54772455,147.25395091465032,UTC+10
WUG,AYWU,-7.3375,146.71834,UTC+10
YVD,AYXE,-7.5493875,146.18817001949634,UTC+10
SMJ,AYXI,-7.566667,146.98334,UTC+10
TLO,AYXO,-4.9809364,152.0101551072929,UTC+10
WPM,AYXP,-8.816667,143.03334,UTC+10
WEP,AYXW,-10.066667,148.16667,UTC+10
KYX,AYYE,-6.183333,147.01666,UTC+10
YEQ,AYYK,-5.10940055,143.9173608942616,UTC+10
TCK,AYYL,-4.083333,143.38333,UTC+10
LNF,AYYM,-4.866667,141.21666,UTC+10
RAX,AYYO,-9.63285215,148.0483454335737,UTC+10
KPE,AYYP,-4.05,141.16667,UTC+10
KSX,AYYR,-6.6,146.18333,UTC+10
ZEN,AYZA,-6.95,146.61667,UTC+10
SWR,AYZI,-4.533333,153.05,UTC+10
WUM,AYZM,-6.04938985,149.33863657437524,UTC+10
SIZ,AYZN,-3,142.05,UTC+10
OSG,AYZS,-2.966667,141.33333,UTC+10
JEG,BGAA,68.7218676,-52.78410345,UTC-2
UAK,BGBW,61.166668,-45.316666,UTC-2
CNP,BGCO,70.74137594999999,-22.64640255,UTC-2
GOH,BGGH,64.1927724,-51.67788041,UTC-2
JAV,BGJN,69.24366964999999,-51.05611902,UTC-2
KUS,BGKK,65.57415205000001,-37.12447341,UTC-2
JSU,BGMQ,65.416664,-52.9,UTC-2
JFR,BGPT,62.014621250000005,-49.67085833,UTC-2
NAQ,BGQQ,77.48813885,-69.38334487,UTC-2
SFJ,BGSF,67.01133010000001,-50.70745792,UTC-2
JHS,BGSS,66.9508865,-53.72691239,UTC-2
THU,BGTL,76.53333,-68.7,UTC-3
JUV,BGUK,72.78528,-56.150833,UTC-2
JQA,BGUQ,70.7344416,-52.6989535,UTC-2
AEY,BIAR,65.65698725,-18.07060713,UTC+0
BIU,BIBD,65.833336,-23.983334,UTC+0
BGJ,BIBF,66,-14.5,UTC+0
BJD,BIBK,66.066666,-14.75,UTC+0
BLO,BIBL,65.6435941,-20.28873091,UTC+0
BXV,BIBV,64.7895443,-14.0381909,UTC+0
DJU,BIDV,64.6430303,-14.2775558,UTC+0
EGS,BIEG,65.28288914999999,-14.40198938,UTC+0
FAS,BIFF,64.9314193,-14.04742674,UTC+0
FAG,BIFM,63.8748485,-16.63984506,UTC+0
GUU,BIGF,64.9944471,-23.21841568,UTC+0
GJR,BIGJ,65.99647665,-21.32550893,UTC+0
GRY,BIGR,66.54678075,-18.01750884,UTC+0
HVK,BIHK,65.7,-22.466667,UTC+0
HFN,BIHN,64.29642104999999,-15.22772108,UTC+0
FLI,BIHT,65.98333,-23.7,UTC+0
HZK,BIHU,65.95448809999999,-17.42492337,UTC+0
IFJ,BIIS,66.05682685,-23.13858027,UTC+0
KEF,BIKF,63.98486065,-22.62659819,UTC+0
OPA,BIKP,66.416664,-16.483334,UTC+0
SAK,BIKR,65.73138320000001,-19.57351609,UTC+0
NOR,BINF,65.166664,-22,UTC+0
OFJ,BIOF,65.583336,-19.833332,UTC+0
PFJ,BIPA,65.03333,-19.008333,UTC+0
RHA,BIRE,65.166664,-21.416668,UTC+0
OLI,BIRF,65,-23.983334,UTC+0
RFN,BIRG,66.416664,-15.016667,UTC+0
RKV,BIRK,64.13106,-21.932476,UTC+0
MVA,BIRL,65.61667,-16.966667,UTC+0
SIJ,BISI,66.1364552,-18.9112591,UTC+0
SYK,BIST,65.1,-22.8,UTC+0
TEY,BITE,65.88333,-23.45,UTC+0
THO,BITN,66.21763305,-15.33486304,UTC+0
VEY,BIVM,63.42546055,-20.27815615,UTC+0
VPN,BIVO,65.7198681,-14.85120204,UTC+0
PRN,BKPR,42.57643955,21.032371075473243,UTC+1
BQV,BQV,58.416668,-135.73334,UTC-8
BYA,BYA,64.0780556,-141.1133333,UTC-8
PLY,C65,41.365276,-86.30167,UTC-4
YBW,CAB3,48.75,-123.23333,UTC-7
YTP,CAB4,49.154446,-125.40806,UTC-7
ZAA,CAC3,55.4596468,-129.4817122,UTC-7
ZNA,CAC8,49.05293,-123.87485,UTC-7
YZZ,CAD4,49.066666,-117.6,UTC-7
YMB,CAD5,50.11667,-120.75,UTC-7
YHH,CAE3,49.94639,-125.26556,UTC-7
YWS,CAE5,50.1169003,-122.9568519,UTC-7
YBF,CAE9,48.82061715,-125.119265,UTC-7
YIG,CAF6,50.38333,-125.13333,UTC-7
CJH,CAG3,51.333332,-124.083336,UTC-7
YPT,CAG8,49.493492,-123.98066,UTC-7
ZOF,CAH2,52.36667,-127.7,UTC-7
YCA,CAH3,49.683334,-124.98333,UTC-7
CFQ,CAJ3,49.036945,-116.49834,UTC-7
YAA,CAJ4,52.4512198,-125.3034658,UTC-7
DGF,CAL3,50.1645563,-120.1702593,UTC-7
JHL,CAL4,57.2329368,-111.4254582,UTC-6
ZTS,CAL9,49.9218048,-126.6534942,UTC-7
DUQ,CAM3,48.783333,-123.7,UTC-7
YPI,CAN8,54.5,-130.33333,UTC-7
YHS,CAP3,49.4617472,-123.7249873,UTC-7
YKK,CAP7,53,-130,UTC-7
WPL,CAQ8,50.183334,-124.4,UTC-7
XQU,CAT4,49.33753655,-124.3920994,UTC-7
YMP,CAT5,50.61111,-127.09722,UTC-7
YRN,CAU8,51.466667,-127.583336,UTC-7
YTG,CAV5,50.8851419,-126.826895,UTC-7
YMU,CAV7,50.07145,-124.98369,UTC-7
YAV,CAW7,48.86667,-123.3,UTC-7
YSX,CAW8,52.13333,-128.06667,UTC-7
YGG,CAX6,48.85,-123.5,UTC-7
YTB,CAY4,53.4229782,-129.2509186,UTC-7
YZA,CAZ5,50.666668,-121.333336,UTC-7
ZEL,CBBC,52.1365217,-128.0567694,UTC-7
YTX,CBM5,57.9124585,-131.1289992,UTC-7
YPB,CBS8,49.2318993,-124.8150024,UTC-7
YBO,CBW4,56.966727250000005,-130.2494541,UTC-7
TNS,CBX5,62,-127.666664,UTC-7
TUX,CBX7,55.1,-121.083336,UTC-7
YWM,CCA6,52.335438,-56.01282,UTC-2
YSO,CCD4,54.916668,-59.966667,UTC-3
YBI,CCE4,53.47021675,-55.78850108,UTC-3
YFX,CCK4,52.36667,-55.683334,UTC-2
YHA,CCP4,52.52758035,-56.280771,UTC-2
YRG,CCZ2,54.333332,-58.416668,UTC-3
DVK,CDK2,64.5113983,-110.289001,UTC-6
ZFW,CEB5,56.066666,-118.38333,UTC-6
YJP,CEC4,53.319168,-117.75306,UTC-6
YLE,CEM3,63.15,-117.26667,UTC-6
YGC,CEQ5,53.91684925,-118.872705,UTC-6
YDC,CER3,53.2,-114.96667,UTC-6
NML,CER4,57.0537491,-111.5708846,UTC-6
CFM,CET2,55.69372395,-111.2687884,UTC-6
GSL,CFA7,62.598879,-111.5390293,UTC-6
XMP,CFC4,62.86667,-135.91667,UTC-7
DAS,CFF4,66.7031021,-119.707,UTC-6
YOE,CFM4,55.733334,-117.25,UTC-6
TIL,CFQ4,50.5,-1.03,UTC-6
CGA,CGA,55.478382,-133.14616,UTC-8
GHK,CGK2,63.4353409,-109.144785,UTC-6
CHP,CHP,65.48552135,-144.6184009,UTC-8
LRQ,CJC8,56.216667,-101,UTC-5
YDJ,CJL2,58.660557,-102.539444,UTC-6
YDU,CJL8,60.2919006,-102.501998,UTC-6
YFL,CJN8,62.7,-109.13333,UTC-6
XCL,CJS3,59,-107,UTC-6
YKE,CJT3,53.05,-94.666664,UTC-5
SUR,CJV7,52.70772085,-88.54191711,UTC-4
CKD,CJX,61.8670574,-158.1319634,UTC-8
YTT,CJY3,52.8394466,-104.06634,UTC-6
YAX,CKB6,53.251945,-89.565,UTC-5
WNN,CKL3,52.916668,-89.166664,UTC-5
YBS,CKM8,52.6081293,-90.3746927,UTC-4
YNO,CKQ3,52.5,-92.416664,UTC-5
CKU,CKU,60.55,-145.75,UTC-8
YDW,CKV4,60.3203011,-103.126998,UTC-6
CKX,CKX,64.06816475,-141.9528389,UTC-8
XBE,CNE3,53.96607775,-91.02530221,UTC-5
YNP,CNH2,55.91337420000001,-61.1816841,UTC-3
YWR,CNJ8,48.583332,-85.333336,UTC-4
YPD,CNK4,45.416668,-79.916664,UTC-4
